precision,recall
0.5,1.0
0.5102040816326531,1.0
0.5122950819672131,1.0
0.51440329218107,1.0
0.5208333333333334,1.0
0.5274261603375527,1.0
0.5364806866952789,1.0
0.5387931034482759,1.0
0.5434782608695652,1.0
0.5458515283842795,1.0
0.5482456140350878,1.0
0.5506607929515418,1.0
0.5530973451327433,1.0
0.5630630630630631,1.0
0.5707762557077626,1.0
0.5714285714285714,0.992
0.5740740740740741,0.992
0.5767441860465117,0.992
0.5849056603773585,0.992
0.5876777251184834,0.992
0.5961538461538461,0.992
0.5990338164251208,0.992
0.6019417475728155,0.992
0.6048780487804878,0.992
0.6180904522613065,0.984
0.6212121212121212,0.984
0.6243654822335025,0.984
0.634020618556701,0.984
0.643979057591623,0.984
0.6473684210526316,0.984
0.6507936507936508,0.984
0.6542553191489362,0.984
0.6524064171122995,0.976
0.6559139784946236,0.976
0.6777777777777778,0.976
0.6853932584269663,0.976
0.6892655367231638,0.976
0.6931818181818182,0.976
0.6971428571428572,0.976
0.7011494252873564,0.976
0.6994219653179191,0.968
0.711764705882353,0.968
0.7202380952380952,0.968
0.7289156626506024,0.968
0.7333333333333333,0.968
0.7378048780487805,0.968
0.7361963190184049,0.96
0.7453416149068323,0.96
0.75,0.96
0.7531645569620253,0.952
0.7515923566878981,0.944
0.7564102564102564,0.944
0.7532467532467533,0.928
0.7516339869281046,0.92
0.7549668874172185,0.912
0.76,0.912
0.7583892617449665,0.904
0.7619047619047619,0.896
0.7671232876712328,0.896
0.7724137931034483,0.896
0.7708333333333334,0.888
0.7692307692307693,0.88
0.7676056338028169,0.872
0.7730496453900709,0.872
0.7753623188405797,0.856
0.7777777777777778,0.84
0.7835820895522388,0.84
0.7894736842105263,0.84
0.7954545454545454,0.84
0.7938931297709924,0.832
0.8,0.832
0.7984496124031008,0.824
0.8031496062992126,0.816
0.8015873015873016,0.808
0.8,0.8
0.8064516129032258,0.8
0.8032786885245902,0.784
0.8151260504201681,0.776
0.8220338983050848,0.776
0.8290598290598291,0.776
0.8260869565217391,0.76
0.8454545454545455,0.744
0.8584905660377359,0.728
0.8571428571428571,0.72
0.8557692307692307,0.712
0.8640776699029126,0.712
0.8627450980392157,0.704
0.8613861386138614,0.696
0.86,0.688
0.8686868686868687,0.688
0.8775510204081632,0.688
0.8762886597938144,0.68
0.8723404255319149,0.656
0.8681318681318682,0.632
0.8666666666666667,0.624
0.8620689655172413,0.6
0.8588235294117647,0.584
0.8690476190476191,0.584
0.8641975308641975,0.56
0.8734177215189873,0.552
0.8717948717948718,0.544
0.8783783783783784,0.52
0.8767123287671232,0.512
0.8873239436619719,0.504
0.8787878787878788,0.464
0.8923076923076924,0.464
0.8888888888888888,0.448
0.8870967741935484,0.44
0.8852459016393442,0.432
0.9,0.432
0.9272727272727272,0.408
0.9423076923076923,0.392
0.9411764705882353,0.384
0.9591836734693877,0.376
0.9583333333333334,0.368
0.9777777777777777,0.352
0.9767441860465116,0.336
0.9761904761904762,0.328
1.0,0.32
1.0,0.312
1.0,0.304
1.0,0.28
1.0,0.256
1.0,0.248
1.0,0.232
1.0,0.224
1.0,0.208
1.0,0.184
1.0,0.176
1.0,0.168
1.0,0.152
1.0,0.128
1.0,0.112
1.0,0.08
1.0,0.056
1.0,0.032
1.0,0.016
1.0,0.008
1.0,0.0
